radical,kanjilist
囗,固固囲囲国国図図囿囿困困圏圏駟圜圜圃圃菌菌圍圍圖圖園園麕麕圓圓圄圄國國圉圉粤粤圈圈鄙泗團團鹵鹵因因四四箘箘団団囮囮囚囚溷溷回回囹囹
囚,褞鰮瘟饂慍媼膃榲泅
四,圀圀駟泗
回,徊禀茴迴蛔圖稟亶嗇廻
因,恩茵氤咽姻烟
困,悃梱
固,箇個涸痼錮凅
国,掴椢
國,摑幗膕
園,薗
土,垈湮垠壓堰壞堤睦睦堙堙垉垣堪壤壟壥堽壑垢坡壜壕堺汢冉坤垪坿煙坦廛肚吐堵堡堯壗場垤坪基在牡哉塞塊墟墅捏赤壌走塒壅幸埶埶埴甄墳塋壇墾壊墓塑塹庄埼塁塩増境塔塀墺繊敖壁社墜塚墨墻塗杜籖圸竃埖墹塲墫墸塾圻埣陛埜圭圭塙塰填塘寺埔埠圣圷竈陞域圧墮涅達塵塡圦培埓地耂栽塢埒毀坂疆至淕淕堅堋埀埀坎垂垂坩堝堆壙壘堊懴坏埃址城頚垓垳坐堂袁裁坑埆型垰坊均埋去堀逵逵堕載
圣,径経軽怪茎
在,恠
圭,卦恚畦奎佳硅窪崖蛙哇珪啀鮭封娃挂閨袿桂街鞋睚
坐,挫座
坴,陵陸
垂,睡郵陲錘捶唾
埶,熱
執,贄蟄鷙摯
堂,瞠螳
堅,樫鏗慳鰹
堯,蟯撓饒鐃橈驍繞遶翹澆蕘燒僥嶢磽曉
墨,纒
士,壹壯壮志屆蠧隷賣仕殼轂売壽吉款壱声壻壼壺壷
壬,妊衽任婬廷淫
壮,荘装
壯,莊弉裝奘
声,馨磬聲謦
売,続読涜
壳,殻
壹,饐殪噎懿
壽,檮籌儔擣鑄疇躊濤
夂,梭輹悛峯冬後謖綾竣各烽禝稷憂変慶駿麦夊処浚麥鑁蝮夐夏崚皴条复隆蜂菱愛鋒馥凌愎峻椶峰逢鰒稜絳逡
夅,降
夋,唆俊酸
复,複復腹
夏,厦榎廈嗄
夐,瓊
夕,宛名梦夘苑夢窗拶怨歹夛夜多多舛鴛外汐
外,迯
多,夥侈移
夜,掖腋液鵺
夢,儚
大,奄奐美契奇爨撩瞭奎奚套奕奩鐐臭奨奔太夾夾類春莽泰戻夲夫繚樊夬突鷯遼秦犬夭潦央夷夷器莫夸舂陝天奬奥暸因燎奘尖奧奪奮畚参奢奠奈爽爽僚奉
天,蚕关送奏癸昊矢朕俣
太,汰駄葢
夫,畉嘆失麩賛賛麸替替規趺歎芙扶艱輦輦難
夬,決刔快缺訣鴃决抉袂
夭,飫妖忝笑呑殀沃
央,泱鴦秧映英怏殃鞅
失,帙軼秩鉄跌佚迭
夲,皋
夷,洟銕姨痍
夸,跨胯匏刳桍瓠袴誇
夹,峡狭挟
夾,頰頬篋挾侠陜鋏莢浹狹峽筴
奄,罨閹俺掩庵菴淹
奇,欹綺倚寄羇椅碕掎猗埼剞崎騎畸
奈,捺
奉,棒捧俸
奏,輳湊
奐,換煥渙喚
契,喫禊楔
奚,鷄溪鶏渓谿蹊
奠,鄭
奥,襖
奧,墺懊燠澳礇
女,奸妾妊妓孀嫡娶堰妝姆妲始妄宴孃嫖娼娉娵娠嫣娯嫗妁娘嫦娥妛妻妨如妖妍孅嫐妃姐姫嫂婁媚婀嬶嬢姥姑姓姪嫁媼媛婚嬉姦姦姦嬬嫋嫌婆珱嬰姚姜媾媒媽嬾嬪委姙嬖婉姿屡嫉婢数嬋婦婪嬌姶姻姨婬婿要偃娚嫻娃嫩桜好妥妬妹妙安嫺威汝娩娜娑娟姉奴妣
奴,拏努呶駑弩怒帑孥
如,恕絮茹洳
妄,侫
妥,綏餒
妻,褄悽棲萋凄淒
妾,椄霎接
委,魏痿萎矮倭逶
威,縅鰄
娚,嫐嬲
婁,褸縷數楼螻樓髏窶鏤僂簍瘻
嬰,櫻纓嚶瓔鸚
子,孛孔享孕孜孩孚字孝孑孟學斿李仔斈好季孺孳厚学孤孫存孱孱孱孥
孔,吼
存,荐拵栫
孚,乳桴俘蜉艀浮殍孵郛
孛,悖勃
孝,酵教哮
